superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
1913,0,0,0,0,200,2,200
1914,1,0,0,0.407142857142857,437.5,5,1150
1915,1,0,0,0,200,6,200
1916,0,1,0,0.407142857142857,437.5,7,200
2000,1,0,0,0.368217054263566,358.333333333333,12,200
2001,1,0,0,0.346504559270517,335.714285714286,8,200
2002,0,1,0,0.393103448275862,580,4,200
2003,1,0,0,0,200,5,200
2004,1,0,0,0.307070707070707,305.555555555556,10,1150
2005,0,1,0,0,200,3,200
2006,0,1,0,0,200,4,200
2007,1,0,0,0,200,5,200
2008,1,0,0,0.408602150537634,516.666666666667,5,200
2009,1,0,0,0.411340206185567,485,8,200
2010,0,0,1,0.346504559270517,335.714285714286,5,200
2012,0,0,1,0.408602150537634,516.666666666667,9,200
2013,1,0,0,0.411255411255411,471.428571428571,5,200
2014,1,0,0,0.368217054263566,358.333333333333,6,1150
2015,1,0,0,0.38974358974359,390,5,200
2016,0,1,0,0.368217054263566,358.333333333333,3,1150
2017,0,1,0,0,200,7,200
2018,1,0,0,0.38974358974359,390,7,200
2019,1,0,0,-8.88178419700125e-16,200,9,200
2100,0,1,0,0.411255411255411,471.428571428571,5,200
2101,0,1,0,0.368217054263566,358.333333333333,7,200
2102,1,0,0,0,200,4,200
2103,0,1,0,0.411255411255411,471.428571428571,10,1150
2104,0,1,0,0.393103448275862,580,7,200
2105,0,1,0,0.407142857142857,437.5,5,200
2106,0,1,0,0.351851851851852,675,4,200
2107,0,1,0,0.393103448275862,580,4,200
2108,0,1,0,0.393103448275862,580,4,1150
2109,0,1,0,0.408602150537634,516.666666666667,6,1150
2110,1,0,0,0.408602150537634,516.666666666667,6,200
2111,0,1,0,0.411255411255411,471.428571428571,8,200
2113,0,1,0,0.411255411255411,471.428571428571,7,1150
2115,1,0,0,0.351851851851852,675,8,200
2116,0,1,0,0.407142857142857,437.5,3,200
2200,1,0,0,0.400280898876405,556.25,6,200
2201,0,1,0,0,200,4,200
2202,1,0,0,0.368217054263566,358.333333333333,3,200
2205,0,1,0,0,200,6,200
2206,0,1,0,0.393103448275862,580,8,1150
2207,0,1,0,0,200,6,200
2208,0,1,0,0.346504559270517,335.714285714286,8,200
2209,0,0,1,0.307070707070707,305.555555555556,6,200
2210,0,0,1,0.411255411255411,471.428571428571,7,1150
2211,1,0,0,0.399399399399399,411.111111111111,8,200
2212,0,1,0,0.346504559270517,335.714285714286,7,200
2213,0,1,0,0.289830508474576,295,9,1150
2214,0,0,1,0.408602150537634,516.666666666667,2,200
2215,0,1,0,0.38974358974359,390,4,200
2216,NA,NA,NA,NA,NA,NA,200
2218,0,0,1,0,200,6,200
2219,0,0,1,0,200,5,200
2220,1,0,0,0.407142857142857,437.5,5,200
2221,0,0,1,0.296103896103896,770,4,200
2300,1,0,0,0.411255411255411,471.428571428571,4,1150
2301,0,1,0,0.351851851851852,675,5,200
2302,0,1,0,0.407142857142857,437.5,5,200
2303,1,0,0,0.393103448275862,580,7,1150
2305,0,1,0,0.408602150537634,516.666666666667,3,200
2306,0,1,0,0.407142857142857,437.5,3,1150
2308,0,1,0,0.313186813186813,742.857142857143,7,200
2309,0,1,0,0,200,3,200
2310,0,1,0,0.38974358974359,390,2,200
2311,0,0,1,0.407142857142857,437.5,3,200
2312,NA,NA,NA,NA,NA,NA,200
2313,0,1,0,0.351851851851852,675,3,1150
2314,0,1,0,0.346504559270517,335.714285714286,4,200
2315,0,1,0,0.351851851851852,675,5,200
2400,0,1,0,0.376984126984127,622.222222222222,7,200
2401,1,0,0,0.411255411255411,471.428571428571,9,200
2402,0,1,0,0.400280898876405,556.25,11,1150
2403,0,1,0,0.408602150537634,516.666666666667,8,200
2404,1,0,0,0.351851851851852,675,4,1150
2405,1,0,0,0.313186813186813,742.857142857143,7,1150
2406,0,1,0,0.296103896103896,770,8,1150
2407,1,0,0,0.383193277310924,607.142857142857,11,200
2408,0,1,0,0.351851851851852,675,9,1150
2409,0,1,0,0.351851851851852,675,12,1150
2410,0,0,1,0.393103448275862,580,5,200
2411,1,0,0,0.351851851851852,675,10,200
2413,0,1,0,0.368217054263566,358.333333333333,6,200
2414,0,0,1,0.402258292166549,419.230769230769,10,200
