"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
219,21902,11,0,200,0,5150,2.03387657735811,"Richest",1,0.625,9,1,0
219,21903,11,0,200,100,2400,-0.352962933766272,"Middle",1,0.7,9,1,0
219,21904,11,0,1150,150,4150,1.16593493694924,"Richer",1,0.666666666666667,8,0,0
219,21905,11,0,200,250,2700,-0.0925804416436122,"Middle",1,0.777777777777778,9,2,0
219,21906,11,0,200,0,2300,-0.439757097807158,"Middle",1,0.583333333333333,13,1,0
219,21907,11,0,200,0,1350,-1.26430165619558,"Poorer",NA,NA,NA,-2,0
219,21908,11,0,200,100,2300,-0.439757097807158,"Middle",1,0.7,8,2,0
219,21909,11,0,200,200,3950,0.99234660886747,"Richer",0,0.666666666666667,3,2,0
219,21911,11,0,200,800,3250,0.384787460581264,"Middle",0,0.666666666666667,10,2,0
219,21912,11,0,200,200,1050,-1.52468414831824,"Poorest",0,0.5,4,2,0
219,21913,11,0,200,400,2550,-0.222771687704942,"Middle",0,0.555555555555556,7,2,0
219,21914,11,0,1150,200,4350,1.33952326503102,"Richer",0,0.5,4,2,0
219,21915,11,0,200,200,1850,-0.830330835991148,"Poorer",1,0.75,8,2,0
219,21916,11,0,200,150,2650,-0.135977523664055,"Middle",NA,0.8,5,-1,1
220,22000,11,0,200,0,100,-1.91498052099189,"Poorest",1,0.555555555555556,9,0,0
220,22001,11,0,200,100,2000,-0.17408913827199,"Middle",1,0.714285714285714,7,2,0
220,22002,11,0,200,300,2100,-0.0824632760235741,"Middle",0,0.428571428571429,7,1,0
220,22003,11,0,200,0,1400,-0.723844311762484,"Poorer",1,0.6,10,0,0
220,22005,11,0,200,50,2050,-0.128276207147782,"Middle",1,0.625,8,1,0
220,22006,11,0,200,300,2100,-0.0824632760235741,"Middle",0,0.333333333333333,9,2,0
220,22007,11,0,200,-50,1550,-0.586405518389861,"Poorer",1,0.5,8,0,0
220,22008,11,0,200,0,1150,-0.952908967383523,"Poorer",1,0.5,2,2,0
220,22009,11,0,200,400,3350,1.06286000208162,"Richer",0,1,3,-2,0
220,22010,11,0,200,0,1250,-0.861283105135108,"Poorer",0,0,5,1,0
220,22013,11,0,200,150,2300,0.100788448473257,"Middle",1,0.833333333333333,5,1,0
220,22016,11,0,1150,100,3050,0.787982415336375,"Richer",0,0.2,5,2,0
220,22017,11,0,200,100,2400,0.192414310721673,"Middle",0,0.2,5,2,0
220,22018,11,0,200,300,4450,2.0707444868142,"Richest",0,0.5,6,1,0
220,22019,11,0,200,500,3600,1.29192465770266,"Richer",0,0.833333333333333,5,0,0
221,22100,11,0,200,-350,100,-0.318977396600559,"Middle",1,0,6,-1,0
221,22101,11,0,200,-100,250,-0.224734074877667,"Middle",1,0.5,2,-1,0
221,22102,11,0,200,150,600,-0.00483299085758425,"Middle",NA,0.8,3,0,1
221,22103,11,0,1150,300,2750,1.34598795383721,"Richer",0,0.428571428571429,7,2,0
221,22104,11,0,200,300,1100,0.30931141488539,"Middle",0,0.75,5,2,0
221,22106,11,0,200,0,250,-0.224734074877667,"Middle",0,0.2,4,0,0
221,22107,11,0,200,400,1050,0.277896974311093,"Middle",0,0.8,5,2,0
221,22109,11,0,1150,100,1750,0.717699142351258,"Richer",0,0.25,4,-2,0
221,22110,11,0,200,-350,-1200,-1.13575285153229,"Poorer",1,0.222222222222222,9,-1,0
221,22111,11,0,200,0,450,-0.0990763125804767,"Middle",1,0.5,7,2,0
221,22113,11,0,1150,400,2850,1.4088168349858,"Richer",0,0.666666666666667,6,2,0
221,22115,11,0,200,-350,-3250,-2.42374491507849,"Poorest",1,0.222222222222222,8,2,0
221,22116,11,0,200,300,1200,0.372140296033985,"Middle",0,0.6,4,2,0
222,22200,11,0,200,-150,-1700,-1.56918057250424,"Poorest",1,0.5,6,2,0
222,22201,11,0,200,-100,100,0.196147571563029,"Middle",0,0.25,5,0,0
222,22202,11,0,200,0,-350,-0.245184464453787,"Middle",1,0.75,4,-1,0
222,22205,11,0,200,200,1400,1.47110678672272,"Richer",0,0.5,4,0,0
222,22206,11,0,1150,-100,750,0.833627179142875,"Richer",0,0.2,5,1,0
222,22207,11,0,200,50,0,0.0980737857815147,"Middle",NA,1,1,-1,1
222,22208,11,0,200,0,-1150,-1.0297747507059,"Poorer",NA,NA,NA,1,0
222,22209,11,0,200,-100,-400,-0.294221357344544,"Middle",0,0,2,1,0
222,22210,11,0,1150,0,200,0.294221357344544,"Middle",0,0,1,1,0
222,22212,11,0,200,0,300,0.392295143126059,"Middle",NA,NA,NA,1,0
222,22213,11,0,1150,-100,1750,1.81436503695802,"Richest",0,0.25,3,2,0
222,22214,11,0,200,-250,-100,0,"Middle",1,0.5,4,0,0
222,22215,11,0,200,100,1050,1.12784853648742,"Richer",0,1,1,1,0
222,22219,11,0,200,-300,-650,-0.539405821798331,"Poorer",NA,0.285714285714286,7,0,1
222,22220,11,0,200,-400,-1600,-1.47110678672272,"Poorer",1,0.25,7,-2,0
222,22221,11,0,200,-150,-1200,-1.07881164359666,"Poorer",NA,0.428571428571429,4,0,1
223,22300,11,0,1150,0,700,0.352802674816694,"Middle",NA,NA,NA,0,0
223,22301,11,0,200,-100,0,-0.496128761460976,"Middle",0,0,6,1,0
223,22302,11,0,200,-150,400,-0.0110250835880217,"Middle",1,0,3,0,0
223,22303,11,0,1150,0,150,-0.314214882258618,"Middle",0,0.166666666666667,6,2,0
223,22305,11,0,200,100,-550,-1.16314631853629,"Poorer",0,0.5,4,-1,0
223,22306,11,0,1150,0,900,0.595354513753171,"Richer",0,0,6,2,0
223,22309,11,0,200,0,800,0.474078594284933,"Middle",0,0,4,1,0
